iter	MultiClass
0	1.552660637
1	1.32793617
2	1.168683618
3	1.052324949
4	0.9628748803
5	0.8869269929
6	0.824398429
7	0.7742079477
8	0.7270529367
9	0.6899804141
10	0.6562034438
11	0.6284156399
12	0.6024199503
13	0.5782486561
14	0.5580675073
15	0.5411062093
16	0.524230455
17	0.509583835
18	0.4957886208
19	0.4847690509
20	0.4730762445
21	0.4628499668
22	0.4532369336
23	0.4441744881
24	0.4359123118
25	0.4288057003
26	0.4220899627
27	0.4161562716
28	0.4096538289
29	0.4049522415
30	0.3991007541
31	0.3935656048
32	0.3887444782
33	0.3839563084
34	0.380462081
35	0.3771864956
36	0.3730403111
37	0.3694153624
38	0.3654574909
39	0.3621369379
40	0.3590864593
41	0.3554362255
42	0.3520540293
43	0.3489033777
44	0.3459471979
45	0.3433177362
46	0.3407160456
47	0.3382432285
48	0.3352816235
49	0.3332033511
