iter	Passed	Remaining
0	299	298756
1	607	302987
2	898	298484
3	1187	295633
4	1480	294657
5	1767	292872
6	2056	291752
7	2368	293684
8	2671	294145
9	2960	293100
10	3248	292088
11	3544	291853
12	3846	292041
13	4160	293024
14	4464	293140
15	4754	292397
16	5057	292449
17	5345	291648
18	5638	291133
19	5917	289956
20	6241	290986
21	6542	290836
22	6828	290076
23	7112	289224
24	7392	288297
25	7666	287206
26	7963	286989
27	8255	286584
28	8542	286019
29	8804	284681
30	9091	284192
31	9391	284095
32	9681	283693
33	9986	283745
34	10292	283770
35	10614	284220
36	10904	283816
37	11223	284137
38	11510	283630
39	11790	282972
40	12079	282549
41	12373	282236
42	12646	281448
43	12943	281237
44	13236	280911
45	13502	280030
46	13804	279906
47	14085	279355
48	14366	278825
49	14645	278259
50	14933	277875
51	15211	277321
52	15483	276654
53	15763	276148
54	16040	275603
55	16314	275020
56	16589	274462
57	16853	273728
58	17123	273098
59	17389	272428
60	17663	271907
61	17942	271455
62	18228	271106
63	18555	271371
64	18850	271154
65	19141	270888
66	19417	270390
67	19723	270332
68	20006	269937
69	20299	269689
70	20568	269127
71	20851	268748
72	21139	268439
73	21442	268315
74	21742	268153
75	22018	267696
76	22281	267085
77	22580	266918
78	22883	266780
79	23168	266438
80	23452	266080
81	23735	265721
82	24007	265242
83	24289	264867
84	24563	264415
85	24829	263886
86	25145	263879
87	25447	263731
88	25719	263260
89	25996	262855
90	26268	262392
91	26528	261827
92	26812	261493
93	27101	261214
94	27374	260777
95	27675	260607
96	27953	260225
97	28227	259804
98	28522	259581
99	28838	259546
100	29148	259453
101	29461	259376
102	29750	259092
103	30052	258912
104	30330	258529
105	30641	258427
106	30949	258294
107	31239	258017
108	31539	257816
109	31824	257489
110	32136	257384
111	32431	257137
112	32713	256788
113	32992	256417
114	33273	256062
115	33553	255697
116	33855	255504
117	34135	255148
118	34437	254952
119	34747	254812
120	35051	254628
121	35336	254305
122	35631	254053
123	35914	253721
124	36216	253518
125	36501	253194
126	36782	252845
127	37056	252447
128	37420	252662
129	37712	252381
130	38000	252077
131	38300	251854
132	38596	251605
133	38903	251420
134	39197	251151
135	39480	250817
136	39771	250529
137	40061	250239
138	40342	249893
139	40657	249752
140	40935	249387
141	41229	249116
142	41530	248891
143	41812	248552
144	42119	248359
145	42400	248016
146	42692	247731
147	42989	247477
148	43268	247122
149	43565	246873
150	43850	246549
151	44128	246192
152	44427	245946
153	44728	245716
154	45020	245433
155	45318	245185
156	45587	244779
157	45860	244398
158	46170	244209
159	46473	243985
160	46788	243821
161	47113	243710
162	47402	243412
163	47720	243258
164	48045	243139
165	48335	242839
166	48636	242601
167	48961	242478
168	49264	242239
169	49561	241978
170	49863	241734
171	50145	241397
172	50438	241114
173	50756	240949
174	51071	240767
175	51378	240546
176	51685	240321
177	51991	240095
178	52280	239788
179	52558	239434
180	52878	239269
181	53160	238928
182	53459	238670
183	53797	238578
184	54092	238299
185	54375	237967
186	54681	237734
187	54988	237505
188	55268	237156
189	55570	236904
190	55857	236589
191	56138	236249
192	56410	235872
193	56667	235432
194	56929	235016
195	57232	234770
196	57511	234426
197	57820	234203
198	58122	233948
199	58427	233710
200	58744	233516
201	59077	233386
202	59398	233206
203	59694	232925
204	59968	232561
205	60266	232288
206	60575	232061
207	60851	231704
208	61167	231499
209	61448	231161
210	61734	230847
211	62047	230628
212	62354	230390
213	62660	230146
214	62957	229869
215	63277	229673
216	63574	229394
217	63902	229227
218	64172	228853
219	64484	228626
220	64789	228376
221	65080	228076
222	65378	227798
223	65700	227604
224	65989	227296
225	66285	227011
226	66586	226746
227	66885	226473
228	67193	226227
229	67494	225960
230	67798	225701
231	68121	225506
232	68414	225209
233	68711	224928
234	69029	224711
235	69327	224433
236	69639	224198
237	69929	223891
238	70253	223694
239	70538	223372
240	70834	223085
241	71132	222804
242	71384	222380
243	71710	222185
244	72007	221900
245	72307	221624
246	72563	221216
247	72849	220898
248	73126	220554
249	73400	220200
250	73713	219965
251	73998	219645
252	74288	219342
253	74580	219043
254	74869	218735
255	75141	218378
256	75534	218372
257	75830	218085
258	76096	217712
259	76387	217410
260	76741	217286
261	77008	216917
262	77284	216573
263	77561	216230
264	77830	215869
265	78084	215466
266	78360	215123
267	78622	214745
268	78903	214418
269	79181	214082
270	79469	213775
271	79762	213481
272	80050	213175
273	80318	212813
274	80595	212478
275	80918	212263
276	81213	211976
277	81498	211662
278	81788	211360
279	82071	211039
280	82334	210670
281	82610	210333
282	82906	210048
283	83192	209739
284	83476	209423
285	83758	209102
286	84022	208739
287	84348	208529
288	84640	208233
289	84923	207916
290	85207	207601
291	85487	207278
292	85771	206964
293	86056	206653
294	86327	206307
295	86620	206015
296	86882	205650
297	87165	205335
298	87447	205020
299	87728	204699
300	88044	204461
301	88343	204184
302	88621	203857
303	88905	203545
304	89170	203191
305	89459	202892
306	89756	202608
307	90050	202322
308	90352	202051
309	90648	201766
310	90905	201394
311	91202	201113
312	91508	200851
313	91803	200565
314	92121	200328
315	92403	200011
316	92681	199689
317	92961	199369
318	93239	199047
319	93531	198753
320	93815	198445
321	94081	198096
322	94388	197836
323	94672	197526
