CODIGO_POSTAL,edad_media,p_poblacion_menor_de_18,p_poblacion_mayor_65,media_personas_por_hogar,poblacion,crecimiento_poblaconal_2015,renta_media_por_persona,renta_media_por_hogar,p_suelo_urbano,p_agropecuario,p_cultural,p_deportivo,p_industrial,p_oficina,p_otros,p_publico,p_residencial,p_retail,p_salud,p_solteros,p_casados,p_viudos,p_separados,p_divorciados,p_extranjeros,p_hogares_unipersonales,p_ocup_agropecuaria,p_ocup_pesca,p_ocup_mineria,p_ocup_manufactura,p_ocup_dirstr_gas_elec_agua,p_ocup_construccion,p_ocup_taller_automotriz,p_ocup_hosteleria,p_ocup_transporte,p_ocup_financiera,p_ocup_inmobiliarias,p_ocup_adm_publica,p_ocup_educacion,p_ocup_medicina,p_ocup_otros,p_casas_con_servicio_domestico,prop_masculinidad,prop_reemplazamiento,prop_dependientes,prop_analfabetas,prop_paro
28755,,,,,,,,,0.0042,0.227810651,0.00591716,0.00295858,0.210059172,0,0.035502959,0.00591716,0.49408284,0.017751479,0,0.383,0.447,0.156,0,0.014,0,0.292307692,0.25,0,0,0.035714286,0,0.178571429,0.071428571,0.178571429,0.107142857,0.071428571,0,0.035714286,0,0.035714286,0,0.035714286,101.4,0.6,0.9,6.6,36.4
28864,37.2,22,10.2,2.8,4151,0.0147,12088,35093,0.0808,0.085227273,0.001352814,0.003787879,0.183441558,0.021915584,0.207251082,0.001082251,0.476731602,0.017857143,0.001352814,0.475,0.475,0.04,0.007,0.004,0.046855734,0.080831409,0.028571429,0,0.002721088,0.224489796,0.004081633,0.131972789,0.125170068,0.034013605,0.059863946,0.029931973,0.057142857,0.055782313,0.024489796,0.034013605,0.183673469,0.004081633,107.9,1.7,0.4,0.8,14.4
28749,49.6,12.6,25.8,1.92,198,-0.0435,14638,28416,0.0172,0.1828125,0,0.00625,0.128125,0,0.0234375,0,0.6453125,0.0140625,0,0.42,0.474,0.089,0.009,0.008,0.020242915,0.283783784,0.154471545,0,0,0.101626016,0.016260163,0.219512195,0.085365854,0.150406504,0.048780488,0.020325203,0.040650407,0.073170732,0.016260163,0.008130081,0.048780488,0.016260163,117.9,1,0.7,2.1,16
28607,38.6,22.9,13.7,2.88,8668,0.0127,9240,27291,0.0284,0.334757835,0.003323837,0.014245014,0.058879392,0.019468186,0.307217474,0.009021842,0.196106363,0.050807217,0.00617284,0.433,0.5,0.051,0.009,0.007,0.059824652,0.123089983,0.0322841,0,0.000807103,0.215496368,0.007263923,0.18079096,0.11945117,0.058918483,0.065375303,0.033091203,0.016949153,0.118644068,0.031476998,0.054075868,0.057304278,0.007263923,105.5,1.5,0.5,4.9,21
28807,38.6,22.9,13.7,2.88,8668,0.0127,9240,27291,0.0284,0.334757835,0.003323837,0.014245014,0.058879392,0.019468186,0.307217474,0.009021842,0.196106363,0.050807217,0.00617284,0.449,0.476,0.056,0.013,0.006,0.026615653,0.154098361,0.005186466,0,0.000987898,0.256853544,0.005186466,0.084218326,0.12941467,0.040009879,0.068905903,0.033094591,0.065201284,0.096073104,0.115831069,0.050382811,0.034823413,0.013583601,94.2,1.3,0.4,1.4,22.5
28801,41.2,18.2,16.4,2.78,190260,-0.0107,11267,32751,0.1933,0.007951675,0.004029846,0.001138328,0.018894576,0.016592994,0.295341997,0.001346052,0.647309559,0.005849508,0.001545467,0.467,0.45,0.061,0.014,0.009,0.024246988,0.184246265,0.004799302,0,0.001308901,0.207242583,0.003926702,0.063699825,0.147033159,0.037085515,0.054973822,0.036212914,0.084205934,0.111692845,0.136998255,0.061518325,0.041884817,0.006980803,85.4,1.4,0.4,0.9,21.5
28802,41.2,18.2,16.4,2.78,190260,-0.0107,11267,32751,0.1933,0.007951675,0.004029846,0.001138328,0.018894576,0.016592994,0.295341997,0.001346052,0.647309559,0.005849508,0.001545467,0.496,0.444,0.043,0.012,0.005,0.020167428,0.070437018,0.005665722,0,0.000762693,0.245042493,0.002832861,0.217258662,0.147853563,0.054696012,0.069623012,0.010459795,0.074852909,0.059381129,0.029418174,0.028001743,0.034430159,0.019612116,99.7,1.7,0.4,2.5,28.6
28803,41.2,18.2,16.4,2.78,190260,-0.0107,11267,32751,0.1933,0.007951675,0.004029846,0.001138328,0.018894576,0.016592994,0.295341997,0.001346052,0.647309559,0.005849508,0.001545467,0.487,0.468,0.028,0.011,0.007,0.030140677,0.0753651,0.00540638,0,0.000630744,0.263470896,0.003514147,0.135429807,0.145882141,0.053072626,0.084790052,0.017480627,0.059740494,0.086502072,0.050189223,0.036673274,0.037484231,0.019553073,100.3,1.8,0.4,1,23.4
28804,41.2,18.2,16.4,2.78,190260,-0.0107,11267,32751,0.1933,0.007951675,0.004029846,0.001138328,0.018894576,0.016592994,0.295341997,0.001346052,0.647309559,0.005849508,0.001545467,0.487,0.465,0.033,0.01,0.005,0.024503786,0.085784745,0.004166977,7.44103e-05,0.001116154,0.26943969,0.004315797,0.107820522,0.135873205,0.040851254,0.078874916,0.020388422,0.054691569,0.120842325,0.070913014,0.045018231,0.033559045,0.011980058,100.3,1.4,0.3,0.9,22.9
28805,41.2,18.2,16.4,2.78,190260,-0.0107,11267,32751,0.1933,0.007951675,0.004029846,0.001138328,0.018894576,0.016592994,0.295341997,0.001346052,0.647309559,0.005849508,0.001545467,0.481,0.469,0.034,0.01,0.006,0.028038918,0.093932647,0.005907885,0,0.000843984,0.248734025,0.004461056,0.088979986,0.115505184,0.042560887,0.08041958,0.026766337,0.049312756,0.157463226,0.083674946,0.049312756,0.032794791,0.012900892,100.5,1.4,0.3,1.3,22.2
28806,41.2,18.2,16.4,2.78,190260,-0.0107,11267,32751,0.1933,0.007951675,0.004029846,0.001138328,0.018894576,0.016592994,0.295341997,0.001346052,0.647309559,0.005849508,0.001545467,0.474,0.467,0.043,0.01,0.005,0.029300983,0.092694292,0.004835165,0,0.001318681,0.295531136,0.004542125,0.138608059,0.124249084,0.051721612,0.085714286,0.015970696,0.048937729,0.086886447,0.054945055,0.037655678,0.031648352,0.017289377,99.9,1.6,0.4,1.6,23.9
