CODIGO_POSTAL,CODIGO_MUNICIPIO,edad_media,p_poblacion_menor_de_18,p_poblacion_mayor_65,media_personas_por_hogar,poblacion_municipio,poblacion_cp,crecimiento_poblaconal_2015,renta_media_por_persona,renta_media_por_hogar,p_suelo_urbano,p_agropecuario,p_cultural,p_deportivo,p_industrial,p_oficina,p_otros,p_publico,p_residencial,p_retail,p_salud,p_solteros,p_casados,p_viudos,p_separados,p_divorciados,p_extranjeros,p_hogares_unipersonales,p_ocup_agropecuaria,p_ocup_pesca,p_ocup_mineria,p_ocup_manufactura,p_ocup_dirstr_gas_elec_agua,p_ocup_construccion,p_ocup_taller_automotriz,p_ocup_hosteleria,p_ocup_transporte,p_ocup_financiera,p_ocup_inmobiliarias,p_ocup_adm_publica,p_ocup_educacion,p_ocup_medicina,p_ocup_otros,p_casas_con_servicio_domestico,prop_masculinidad,prop_reemplazamiento,prop_dependientes,prop_analfabetas,prop_paro
28001,28079,43.5,16.2,20.4,2.49,3131879,36312,0.0034,15717,"68,333",0.3625,0.000566211,0.001060675,0.00057398,5.53E-05,0.014441352,0.253131526,0.000664921,0.680168904,0.048725225,0.00061191,0.503,0.367,0.098,0.015,0.017,0.056014541,0.30625543,0.009042719,0.000155909,0.000935454,0.131197381,0.007795447,0.042719052,0.125194886,0.035703149,0.061194263,0.071874026,0.131431244,0.103991269,0.082943561,0.069301528,0.065091986,0.0601029,74.8,1.2,0.6,0.3,18.6
28002,28079,43.5,16.2,20.4,2.49,3131879,63561,0.0034,15717,"42,611",0.3625,0.000566211,0.001060675,0.00057398,5.53E-05,0.014441352,0.253131526,0.000664921,0.680168904,0.048725225,0.00061191,0.488,0.411,0.073,0.014,0.014,0.050581331,0.239298337,0.004927782,4.25E-05,0.000594732,0.142863212,0.010407816,0.049065421,0.123661852,0.038105353,0.070390824,0.080331351,0.122557349,0.115802889,0.088232795,0.066015293,0.05624469,0.029651657,81.3,1.1,0.5,0.3,18.3
28003,28079,43.5,16.2,20.4,2.49,3131879,49026,0.0034,15717,"38,842",0.3625,0.000566211,0.001060675,0.00057398,5.53E-05,0.014441352,0.253131526,0.000664921,0.680168904,0.048725225,0.00061191,0.501,0.383,0.09,0.013,0.013,0.046913882,0.268137035,0.00500455,0,0.000568699,0.108166515,0.012340764,0.04333485,0.094176524,0.03372384,0.057950409,0.069324386,0.123976342,0.16355778,0.100375341,0.084281165,0.055959964,0.046007734,75.1,1.2,0.5,0.4,17.9
28004,28079,43.5,16.2,20.4,2.49,3131879,33097,0.0034,15717,"31,916",0.3625,0.000566211,0.001060675,0.00057398,5.53E-05,0.014441352,0.253131526,0.000664921,0.680168904,0.048725225,0.00061191,0.521,0.347,0.096,0.019,0.017,0.095869716,0.366735317,0.004575537,8.17E-05,0.000326824,0.123130975,0.004738949,0.048533377,0.125255331,0.108587303,0.064057521,0.049677261,0.094778985,0.101315467,0.083013318,0.060217338,0.072064711,0.058174687,79.9,1.3,0.5,0.8,23.6
28005,28079,43.5,16.2,20.4,2.49,3131879,72990,0.0034,15717,"28,739",0.3625,0.000566211,0.001060675,0.00057398,5.53E-05,0.014441352,0.253131526,0.000664921,0.680168904,0.048725225,0.00061191,0.478,0.415,0.08,0.015,0.012,0.041718044,0.270218091,0.002944575,7.45E-05,0.000559097,0.133773156,0.00697007,0.049312311,0.140146856,0.054083268,0.073726192,0.068060681,0.085355399,0.139774125,0.097320064,0.067166126,0.05482873,0.025308435,84.5,1.2,0.5,0.7,20.2
28006,28079,43.5,16.2,20.4,2.49,3131879,31500,0.0034,15717,"59,078",0.3625,0.000566211,0.001060675,0.00057398,5.53E-05,0.014441352,0.253131526,0.000664921,0.680168904,0.048725225,0.00061191,0.508,0.362,0.099,0.014,0.017,0.066507937,0.291439453,0.009678878,9.05E-05,0.001266395,0.128267752,0.007507915,0.044595206,0.127001357,0.032383537,0.056354591,0.066123926,0.133785617,0.101673451,0.091994573,0.072636816,0.058796924,0.066304839,74.6,1.1,0.5,0.3,18.1
28007,28079,43.5,16.2,20.4,2.49,3131879,78817,0.0034,15717,"34,423",0.3625,0.000566211,0.001060675,0.00057398,5.53E-05,0.014441352,0.253131526,0.000664921,0.680168904,0.048725225,0.00061191,0.484,0.43,0.063,0.012,0.011,0.031833234,0.185577216,0.002598212,3.46E-05,0.000762142,0.138813829,0.008729994,0.047633895,0.117993487,0.028268551,0.069943879,0.095822074,0.112658491,0.132127763,0.092149934,0.085637082,0.046975681,0.019053558,86,1.1,0.4,0.3,17.1
28008,28079,43.5,16.2,20.4,2.49,3131879,37311,0.0034,15717,"37,940",0.3625,0.000566211,0.001060675,0.00057398,5.53E-05,0.014441352,0.253131526,0.000664921,0.680168904,0.048725225,0.00061191,0.486,0.388,0.097,0.014,0.015,0.050735708,0.266373626,0.005845733,0,0.000759186,0.112663225,0.007364106,0.043197692,0.107956271,0.040920134,0.063088369,0.061342241,0.111904039,0.155025812,0.099453386,0.07728515,0.071211661,0.041071971,78.6,1.2,0.5,0.4,19.3
28009,28079,43.5,16.2,20.4,2.49,3131879,45211,0.0034,15717,"38,764",0.3625,0.000566211,0.001060675,0.00057398,5.53E-05,0.014441352,0.253131526,0.000664921,0.680168904,0.048725225,0.00061191,0.48,0.389,0.099,0.015,0.017,0.042622371,0.272286593,0.004822029,0.000126896,0.00057103,0.122073472,0.007867521,0.042383098,0.117187996,0.033944547,0.06122708,0.078231077,0.121692786,0.128291352,0.087494448,0.094410253,0.056214707,0.042700336,77.4,1.1,0.6,0.3,18.6
28010,28079,43.5,16.2,20.4,2.49,3131879,44050,0.0034,15717,"49,683",0.3625,0.000566211,0.001060675,0.00057398,5.53E-05,0.014441352,0.253131526,0.000664921,0.680168904,0.048725225,0.00061191,0.511,0.362,0.096,0.014,0.017,0.05938706,0.314551229,0.007306626,0.000125976,0.000566893,0.111048123,0.005794911,0.041887125,0.116213152,0.046422273,0.054295792,0.07420005,0.124653565,0.120181406,0.092970522,0.076467624,0.061161502,0.065507685,73.4,1.2,0.6,0.4,18.4
